Year,Emissions
1910,445366530
1911,458586240
1912,499121060
1913,535083260
1914,497926600
1915,462906100
1916,500696600
1917,524578560
1918,503422600
1919,387427700
1920,429208300
1921,473179970
1922,455460830
1923,331929100
1924,451793180
1925,458065950
1926,413236900
1927,481185800
1928,505010900
1929,539234750
1930,462091780
1931,385964900
1932,347485760
1933,364980800
1934,408619780
1935,452332830
1936,499634430
1937,563512600
1938,601272640
1939,648625500
1940,654325000
1941,660793200
1942,667899400
1943,679430140
1944,600273150
1945,116064530
1946,271682430
1947,317660030
1948,377816400
1949,432148030
1950,510681820
1951,576865540
1952,610980600
1953,623492030
1954,659731900
1955,723498430
1956,766190800
1957,777907650
1958,756379140
1959,755794560
1960,813950200
1961,834839600
1962,883168600
1963,945498000
1964,968917500
1965,960102200
1966,951422000
1967,936229440
1968,984790850
1969,1052000830
1970,1026022340
1971,1037236800
1972,1041480960
1973,1085738400
1974,1062726900
1975,1002447000
1976,1090840400
1977,1052608500
1978,1079132500
1979,1117888300
1980,1100066000
1981,1048523300
1982,1015733900
1983,1011604900
1984,1033244600
1985,1044117900
1986,1047471940
1987,1032442900
1988,1029024200
1989,1008792400
1990,1054795900
1991,1016929540
1992,969464400
1993,959385900
1994,943227650
1995,939933600
1996,959690100
1997,931508100
1998,923498700
1999,895442050
2000,898975740
2001,915254800
2002,898834300
2003,894501060
2004,876569860
2005,867880600
2006,886434300
2007,846116160
2008,856607400
2009,789950700
2010,826679940
2011,804513800
2012,814090240
2013,831742850
2014,792578750
2015,800844500
2016,798013630
2017,784593860
2018,760046340
2019,709826700
2020,648356860
2021,678777300
2022,671471550
2023,596151360